"player_name","player_id","woba","xwoba","launch_speed","launch_angle","spin_rate","velocity","effective_speed","eff_min_vel","release_extension","W","FIP","WAR"
"Senzatela, Antonio",622608,0.323,0.319,89.3,7.1,2091,90.4,90.45,0.1,6.13,4,3.61,3.5
"Sewald, Paul",623149,0.25,0.262,87.9,20.9,2331,87.9,88,0.1,6.42,10,3.08,1.4
"Shaw, Bryan",543766,0.313,0.326,88.4,7.8,2382,90.9,89.97,-0.9,5.7,6,4.53,0
"Sheffield, Justus",656954,0.39,0.396,92.1,9.5,2149,87.5,86.93,-0.6,5.84,7,5.66,-0.3
"Shoemaker, Matt",533167,0.38,0.38,87.9,11.8,1834,87,86.69,-0.3,6.1,3,6.57,-0.8
"Shreve, Chasen",592741,0.298,0.301,87.3,16.3,1822,86,86.25,0.3,6.53,3,4.73,-0.1
"Singer, Brady",663903,0.338,0.326,88.2,7,2308,90.3,90.87,0.6,6.55,5,4.04,2
"Skubal, Tarik",669373,0.332,0.357,89.9,13.6,2032,89.5,89.22,-0.3,6.21,8,5.09,0.6
"Smith, Caleb",592761,0.317,0.313,86.1,23.2,2366,87,85.98,-1,5.68,4,5.1,0
"Smith, Riley",642092,0.368,0.348,88.6,9.2,2190,89,88.98,0,6.36,1,4.88,0
"Smith, Will",519293,0.297,0.284,88.7,20.6,2255,86.7,86.7,0,6.29,3,4.17,0.4
"Smyly, Drew",592767,0.342,0.343,87.5,13.9,2076,86,85.23,-0.8,5.75,11,5.11,0.3
"Snell, Blake",605483,0.305,0.335,87.9,11.4,2319,90.3,90.89,0.6,6.78,7,3.82,2.2
"Soto, Gregory",642397,0.285,0.293,88.1,10.2,2373,94.5,95.32,0.8,6.77,6,4.14,0.4
"Stammen, Craig",489334,0.279,0.287,87.8,7.8,2264,88,88.55,0.6,6.68,6,3.75,0.8
"Stanek, Ryne",592773,0.276,0.311,90.3,18.8,1998,93.6,93.17,-0.4,6.09,3,4.11,0.4
"Staumont, Josh",622251,0.254,0.303,91.7,18,2413,91.3,91.76,0.5,6.62,4,3.49,1
"Steckenrider, Drew",608716,0.264,0.284,90.4,16.1,2216,90.5,89.99,-0.5,6,5,3.35,1.3
"Steele, Justin",657006,0.332,0.309,86.4,7.6,2532,89.1,89.37,0.3,6.36,4,5.52,-0.2
"Stephan, Trevor",663986,0.34,0.349,89.4,16.2,2348,91.4,92.09,0.7,6.6,3,5.49,-0.5
"Stratton, Chris",608717,0.294,0.299,88.8,13.3,2729,87.9,88.54,0.6,6.55,7,3.76,0.8
"Strickland, Hunter",519326,0.292,0.3,86.3,19.9,2511,90.2,89.78,-0.4,6.09,3,4.19,0.3
"Stripling, Ross",548389,0.335,0.339,89.2,16.7,2185,87.5,87.12,-0.4,5.99,5,5.21,0.2
"Stroman, Marcus",573186,0.284,0.318,87.5,4.8,2322,89,88.62,-0.4,5.85,10,3.49,3.4
"Sulser, Cole",642121,0.264,0.274,87.8,14.5,2055,88.9,89.38,0.5,6.69,5,2.98,1.5
"Suter, Brent",608718,0.307,0.298,84.6,7.6,2145,85.9,87.07,1.2,7.13,12,3.91,0.5
"Taillon, Jameson",592791,0.309,0.304,88.5,20.8,2459,89.7,90.27,0.6,6.67,8,4.43,1.9
"Tate, Dillon",622253,0.31,0.314,87.2,0.4,2005,91.6,91.46,-0.1,6.22,0,4.4,0.4
"Tepera, Ryan",572193,0.23,0.249,86.6,13.9,2197,89.4,89.63,0.2,6.39,0,2.73,1.6
"Thielbar, Caleb",573204,0.3,0.304,86.7,19.3,2345,84.3,84.24,-0.1,6.27,7,3.47,0.8
"Thompson, Keegan",624522,0.326,0.35,88.9,12.6,2433,89.9,89.91,0,6.17,3,5.16,-0.3
"Thompson, Zach",605507,0.293,0.295,86.1,12.8,2331,87,87.03,0,6.32,3,3.69,1.3
"Toussaint, Touki",657053,0.334,0.361,90.2,9.7,2048,87.1,88,0.9,6.93,3,5.79,-0.2
"Treinen, Blake",595014,0.233,0.243,83.1,10,2384,92.3,91.13,-1.2,5.54,6,2.88,1.8
"Trivino, Lou",642152,0.28,0.319,86.9,9,2049,92.2,91.44,-0.8,6.57,7,3.78,0.6
"Turnbull, Spencer",605513,0.25,0.269,87.5,5.2,2408,90.4,90.51,0.1,6.32,4,2.95,1.5
"Underwood Jr., Duane",621249,0.333,0.344,89.1,8.5,2058,88.8,89.15,0.3,6.46,2,4.27,0.2
"Valdez, Framber",664285,0.288,0.301,90.6,-5.5,2307,87.4,86.48,-0.9,5.87,11,4.01,1.9
"Velasquez, Vince",592826,0.368,0.349,90.3,20.3,2261,89.5,89.86,0.4,6.51,3,5.88,-0.3
"Voth, Austin",608723,0.345,0.371,87.2,13.9,2534,89.5,89.14,-0.4,6.17,4,4.9,-0.1
"Wacha, Michael",608379,0.334,0.355,89.6,13.1,1932,89.5,90.18,0.7,6.78,3,4.47,1.1
"Wainwright, Adam",425794,0.273,0.302,87.7,9.5,2442,82.4,82.61,0.2,6.48,17,3.66,3.8
"Walker, Taijuan",592836,0.301,0.328,88.2,12.2,2080,90.5,89.87,-0.6,6,7,4.57,1.4
"Watkins, Spenser",657093,0.405,0.391,90.1,16.6,2250,87.3,87.47,0.2,6.38,2,6.37,-0.1
"Watson, Tony",453265,0.241,0.283,85.1,9.6,2337,88,87.44,-0.6,6.1,7,3.48,0.8
"Weathers, Ryan",677960,0.356,0.349,89,10.8,2083,91.1,90.26,-0.8,5.73,4,5.44,-0.1
"Weaver, Luke",596133,0.317,0.328,89.3,13.2,2232,90.5,89.83,-0.7,5.95,3,4.42,0.6
"Webb, Logan",657277,0.274,0.276,87.4,-0.9,2048,88.4,89.22,0.8,6.75,11,2.72,4.1
"Wells, Tyler",669330,0.258,0.293,89.6,24.1,2405,92,91.82,-0.2,6.24,2,3.63,0.9
"Wheeler, Zack",554430,0.257,0.259,83.8,7.7,2351,93.8,94.93,1.1,7.15,14,2.59,7.2
"Whitlock, Garrett",676477,0.272,0.266,87.7,7.5,2036,91.3,92.95,1.7,7.29,8,2.84,1.6
"Widener, Taylor",642203,0.343,0.356,88.4,16.8,2091,89.9,90.41,0.5,6.59,2,5.56,-0.2
"Williams, Devin",642207,0.268,0.259,85.1,11.5,2613,87.7,87.17,-0.5,6.96,8,2.82,1.4
"Williams, Trevor",592866,0.348,0.324,88.1,9.9,2149,87.5,88.39,0.9,6.83,4,3.88,1.1
"Wilson, Bryse",669060,0.353,0.358,87.1,13.4,1974,89.5,90.16,0.7,6.59,3,5.49,0.1
"Wittgren, Nick",621295,0.331,0.354,91.2,8.3,2044,89.6,90.5,0.9,6.8,2,4.84,-0.3
"Wood, Alex",622072,0.298,0.304,89.1,7.1,2009,87.9,87.82,-0.1,6.26,10,3.48,2.5
"Woodford, Jake",663765,0.322,0.332,89.7,12.9,2191,87.2,87.35,0.1,6.36,3,4.5,0.4
"Woodruff, Brandon",605540,0.252,0.28,85.3,9.7,2339,92,92.08,0.1,6.45,9,2.96,4.7
"Yarbrough, Ryan",642232,0.325,0.322,84,16.7,2081,79.6,79.68,0.1,6.63,9,4.45,1.3
"Ynoa, Huascar",660623,0.299,0.317,89.8,7.1,2257,90.4,90.21,-0.2,6.1,4,3.93,1.4
"Young, Alex",622065,0.389,0.365,89.7,9.2,2159,86.9,86.22,-0.7,5.77,2,6.25,-1
"Zimmer, Kyle",622092,0.321,0.334,88.8,10.2,2156,88.3,88.32,0,6.2,4,4.82,-0.1
"Zimmermann, Bruce",669145,0.359,0.378,90.4,13.4,2296,87.4,87.2,-0.2,6.22,4,5.38,0.4
